model,N,k,p,p_over_pc,p_eff,Phi,Psi,Nk_tot,chi,replicate
ER,100,4,0.15816722634907643,1.0588235294117647,0.15575757575757576,0.1,0.2037037037037037,54,2.7209302325581395,3
ER,100,4,0.1643181740404294,1.1,0.1602020202020202,0.14,0.21153846153846154,52,2.2195121951219514,3
ER,100,4,0.17046912173178236,1.1411764705882352,0.1783838383838384,0.26,0.3010752688172043,93,3.2153846153846155,3
ER,100,4,0.17662006942313535,1.1823529411764706,0.18505050505050505,0.67,0.5632183908045977,174,5.684210526315789,3
ER,100,4,0.18277101711448832,1.223529411764706,0.1804040404040404,0.39,0.36363636363636365,143,5.5054945054945055,3
ER,100,4,0.18892196480584128,1.2647058823529411,0.19353535353535353,0.67,0.6730769230769231,208,3.9705882352941178,3
ER,100,4,0.19507291249719427,1.3058823529411767,0.19111111111111112,0.79,0.7914438502673797,187,1.8205128205128205,3
ER,100,4,0.20122386018854724,1.3470588235294119,0.19434343434343435,0.49,0.3941176470588235,170,12.12621359223301,3
ER,100,4,0.2073748078799002,1.388235294117647,0.21171717171717172,0.93,0.7086330935251799,278,5.567901234567901,3
ER,100,4,0.21352575557125317,1.4294117647058824,0.2,0.41,0.2420091324200913,219,11.867469879518072,3
ER,100,4,0.21967670326260613,1.4705882352941175,0.21555555555555556,0.9,0.7967914438502673,374,19.86842105263158,3
ER,100,4,0.22582765095395912,1.5117647058823531,0.22747474747474747,0.96,0.972875226039783,553,1.2666666666666666,3
ER,100,4,0.2319785986453121,1.5529411764705883,0.2307070707070707,1.0,0.9743589743589743,585,1.5333333333333334,3
ER,100,4,0.23812954633666505,1.5941176470588236,0.22424242424242424,0.96,0.9161554192229039,489,5.341463414634147,3
ER,100,4,0.24428049402801805,1.635294117647059,0.24808080808080807,1.0,0.9916579770594369,959,1.25,3
ER,100,4,0.250431441719371,1.676470588235294,0.26585858585858585,1.0,0.9979452054794521,1460,1.0,3
ER,100,4,0.256582389410724,1.7176470588235295,0.25191919191919193,1.0,0.9795427196149218,831,2.6470588235294117,3
ER,100,4,0.2627333371020769,1.7588235294117645,0.26202020202020204,1.0,0.9957983193277311,1190,2.2,3
ER,100,4,0.2688842847934299,1.8,0.2692929292929293,1.0,0.996395097332372,1387,1.0,3
ER,100,4,0.05975206328742887,0.4,0.056363636363636366,0.0,0.0,0,0.0,4
ER,100,4,0.06590301097878185,0.44117647058823534,0.06323232323232324,0.0,0.0,0,0.0,4
ER,100,4,0.07205395867013481,0.4823529411764706,0.0707070707070707,0.04,1.0,1,0.0,4
ER,100,4,0.07820490636148779,0.5235294117647059,0.07434343434343435,0.0,0.0,0,0.0,4
ER,100,4,0.08435585405284077,0.5647058823529413,0.08424242424242424,0.04,1.0,1,0.0,4
ER,100,4,0.09050680174419373,0.6058823529411765,0.09353535353535354,0.05,0.3333333333333333,6,1.0,4
ER,100,4,0.0966577494355467,0.6470588235294118,0.09595959595959595,0.04,0.3333333333333333,3,1.0,4
ER,100,4,0.10280869712689968,0.6882352941176471,0.10666666666666667,0.04,0.25,4,1.0,4
ER,100,4,0.10895964481825265,0.7294117647058824,0.10727272727272727,0.05,0.5,4,1.0,4
ER,100,4,0.11511059250960562,0.7705882352941177,0.11878787878787879,0.06,0.3333333333333333,9,2.0,4
ER,100,4,0.12126154020095858,0.8117647058823529,0.11373737373737373,0.05,0.18181818181818182,11,1.0,4
ER,100,4,0.12741248789231158,0.8529411764705883,0.12585858585858586,0.05,0.13333333333333333,15,1.0,4
ER,100,4,0.13356343558366454,0.8941176470588236,0.12686868686868688,0.06,0.2,15,1.3333333333333333,4
ER,100,4,0.1397143832750175,0.9352941176470588,0.1393939393939394,0.08,0.16666666666666666,30,1.8,4
ER,100,4,0.14586533096637047,0.9764705882352941,0.14565656565656565,0.19,0.38333333333333336,60,2.2972972972972974,4
ER,100,4,0.15201627865772346,1.0176470588235296,0.15171717171717172,0.12,0.15517241379310345,58,2.9591836734693877,4
